Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Michigan,US,2021-03-06 04:30:38,43.3266,-84.5361,654380,16601,541258.0,96521.0,26.0,6552.411834874576,10584735.0,,2.536905162138208,84000026.0,USA,105986.64825179732,,,
Minnesota,US,2021-03-06 04:30:38,45.6945,-93.9002,488170,6602,474175.0,7393.0,27.0,8656.06124654942,7058033.0,,1.3523977302988712,84000027.0,USA,125150.59493243531,,,
Mississippi,US,2021-03-06 04:30:38,32.7416,-89.6787,296745,6783,278162.0,11800.0,28.0,9970.770952663996,1756119.0,,2.2858009402011827,84000028.0,USA,59006.42071347906,,,
Missouri,US,2021-03-06 04:30:38,38.4561,-92.2884,566213,8504,,488699.0,29.0,8101.113365403227,4541067.0,,1.7097747385358004,84000029.0,USA,73989.73967596849,,,
Montana,US,2021-03-06 04:30:38,46.9219,-110.4544,100656,1379,97541.0,1736.0,30.0,9417.858526279546,1096913.0,,1.3700127165792402,84000030.0,USA,102632.4456528858,,,
Nebraska,US,2021-03-06 04:30:38,41.1254,-98.2681,202310,2112,156510.0,43688.0,31.0,10458.496863122982,2411545.0,,1.0439424645346251,84000031.0,USA,124665.78922336963,,,
Nevada,US,2021-03-06 04:30:38,38.3135,-117.0554,295460,5020,,290440.0,32.0,9592.37129547984,2754332.0,,1.6990455560820417,84000032.0,USA,89421.83447851342,,,
New Hampshire,US,2021-03-06 04:30:38,43.4525,-71.5639,76422,1178,73004.0,2240.0,33.0,5620.459053431207,1481488.0,,1.5414409463243568,84000033.0,USA,108956.09434651922,,,
New Jersey,US,2021-03-06 04:30:38,40.2989,-74.521,806370,23521,,782849.0,34.0,9078.504287793889,10993311.0,,2.9168991901980483,84000034.0,USA,123768.02342665492,,,
New Mexico,US,2021-03-06 04:30:38,34.8405,-106.2485,186460,3787,153376.0,29297.0,35.0,8892.475256685213,2757994.0,,2.030998605599056,84000035.0,USA,131531.66042629132,,,
New York,US,2021-03-06 04:30:38,42.1657,-74.9481,1678867,48153,,1630714.0,36.0,8630.12689553342,39194200.0,,2.8681843171615142,84000036.0,USA,201475.70925446504,,,
North Carolina,US,2021-03-06 04:30:38,35.6301,-79.8064,870149,11446,,858703.0,37.0,8296.548730921682,9650184.0,,1.3154069015766263,84000037.0,USA,92010.93355087544,,,
North Dakota,US,2021-03-06 04:30:38,47.5289,-99.784,100278,1478,98164.0,636.0,38.0,13158.77185845771,1422537.0,,1.4739025509084744,84000038.0,USA,186669.4573407413,,,
Northern Mariana Islands,US,2021-03-06 04:30:38,15.0979,145.6739,144,2,29.0,113.0,69.0,261.1344842593936,17573.0,,1.3888888888888888,580.0,MNP,31867.474249238363,,,
Ohio,US,2021-03-06 04:30:38,40.3888,-82.7649,976230,18460,921707.0,37022.0,39.0,8351.626729175043,10187678.0,,1.7927127828483045,84000039.0,USA,87155.36696580575,,,
Oklahoma,US,2021-03-06 04:30:38,35.5653,-96.9289,427558,4534,410778.0,12246.0,40.0,10805.184066297175,3562618.0,,1.0604409226350575,84000040.0,USA,90033.96790120524,,,
Oregon,US,2021-03-06 04:30:38,44.572,-122.0709,156884,2293,,154591.0,41.0,3719.625002696944,3798067.0,,1.461589454628898,84000041.0,USA,90049.87745798279,,,
Pennsylvania,US,2021-03-06 04:30:38,40.5908,-77.2098,946734,24255,859218.0,63261.0,42.0,7395.210228660561,10629284.0,,2.5619656630056595,84000042.0,USA,83028.37941822947,,,
